(TX stage,31.296184043425168)
(with PA,31.296184043425168)
(low-dose aspirin,23.472138032568875)
(ER stress,23.472138032568875)
(seroma production,23.472138032568875)
(bone marrow,19.56011502714073)
(ERI and,19.56011502714073)
(late recurrence,19.56011502714073)
(95% CI:,19.56011502714073)
(intake of,19.56011502714073)
(and naringenin,19.56011502714073)
(GSPs and,19.56011502714073)
(plasma IL-6,19.56011502714073)
(plasma ESR1,19.56011502714073)
(in MM-468,19.56011502714073)
(and Res,19.56011502714073)
(affected by,19.56011502714073)
(survival rates,15.648092021712584)
(vitamin A,15.648092021712584)
(combination therapy,15.648092021712584)
